"year","month","temperature"
1925,"Квітень",9
1926,"Квітень",8.6
1927,"Квітень",7.3
1928,"Квітень",6.1
1929,"Квітень",2
1930,"Квітень",9
1931,"Квітень",4.4
1932,"Квітень",6.7
1933,"Квітень",3.7
1934,"Квітень",10.7
1935,"Квітень",7.8
1936,"Квітень",7.5
1937,"Квітень",7.9
1938,"Квітень",6.8
1939,"Квітень",9.1
1940,"Квітень",5.6
1941,"Квітень",7.3
1942,"Квітень",4.3
1943,"Квітень",9.6
1944,"Квітень",5.1
1945,"Квітень",6.9
1946,"Квітень",9.6
1947,"Квітень",9.3
1948,"Квітень",10.2
1949,"Квітень",7.5
1950,"Квітень",12.9
1951,"Квітень",10.7
1952,"Квітень",9.3
1953,"Квітень",7.9
1954,"Квітень",5.3
1955,"Квітень",5
1956,"Квітень",7
1957,"Квітень",9.3
1958,"Квітень",5.8
1959,"Квітень",8
1960,"Квітень",7.4
1961,"Квітень",9.6
1962,"Квітень",10.3
1963,"Квітень",6.4
1964,"Квітень",8.4
1965,"Квітень",5.2
1966,"Квітень",11.5
1967,"Квітень",9.6
1968,"Квітень",10.4
1969,"Квітень",7.4
1970,"Квітень",9.4
1971,"Квітень",7.4
1972,"Квітень",10.9
1973,"Квітень",10.6
1974,"Квітень",6.9
1975,"Квітень",11.2
1976,"Квітень",10.2
1977,"Квітень",8.3
1978,"Квітень",8.7
1979,"Квітень",6.5
1980,"Квітень",7
1981,"Квітень",5.4
1982,"Квітень",7
1983,"Квітень",10.9
1984,"Квітень",9.8
1985,"Квітень",9.4
1986,"Квітень",10.7
1987,"Квітень",5
1988,"Квітень",8.1
1989,"Квітень",10.1
1990,"Квітень",9.4
1991,"Квітень",NA
1992,"Квітень",7
1993,"Квітень",8
1994,"Квітень",10.9
1995,"Квітень",8.8
1996,"Квітень",9.2
1997,"Квітень",6.1
1998,"Квітень",10.3
1999,"Квітень",11.7
2000,"Квітень",12.7
2001,"Квітень",11.2
2002,"Квітень",9.9
2003,"Квітень",6.9
2004,"Квітень",9.1
2005,"Квітень",10.3
2006,"Квітень",9.7
2007,"Квітень",9
2008,"Квітень",10.7
2009,"Квітень",11.1
2010,"Квітень",10.3
2011,"Квітень",10.2
2012,"Квітень",11.8
2013,"Квітень",10.3
2014,"Квітень",10.3
1812,"Травень",12.7
1813,"Травень",14.4
1814,"Травень",11.9
1815,"Травень",14.6
1816,"Травень",13.6
1817,"Травень",13.6
1818,"Травень",12.2
1819,"Травень",13.3
1820,"Травень",14.3
1821,"Травень",16.5
1822,"Травень",14.1
1823,"Травень",12.4
1824,"Травень",11.4
1825,"Травень",11.3
1826,"Травень",11.9
1827,"Травень",13.4
1828,"Травень",11.9
1829,"Травень",10.5
1830,"Травень",13.7
1831,"Травень",12.4
1832,"Травень",12.4
1833,"Травень",12.8
1834,"Травень",15.9
1835,"Травень",12.8
1836,"Травень",10.5
1837,"Травень",13.8
1838,"Травень",13.9
1839,"Травень",15
1840,"Травень",11.4
1841,"Травень",16
1842,"Травень",13.9
1843,"Травень",9.9
1844,"Травень",15.4
1845,"Травень",12.5
1847,"Травень",14
1851,"Травень",15.9
1852,"Травень",12.6
1853,"Травень",15.3
1854,"Травень",17.3
1855,"Травень",17.6
1856,"Травень",15.7
1857,"Травень",14.1
1858,"Травень",15.2
1859,"Травень",14.8
1860,"Травень",14.4
1861,"Травень",11.4
1862,"Травень",14.8
1863,"Травень",15.9
1864,"Травень",9
1865,"Травень",15.2
1866,"Травень",12.7
1867,"Травень",12.6
1868,"Травень",14
1869,"Травень",17.1
1870,"Травень",13.8
1871,"Травень",10.7
1872,"Травень",20.4
1873,"Травень",12.8
1874,"Травень",11
1875,"Травень",13.5
1876,"Травень",10.2
1877,"Травень",14.3
1878,"Травень",13.1
1879,"Травень",15.2
1880,"Травень",13.3
1881,"Травень",14.1
1882,"Травень",15.3
1883,"Травень",14.6
1884,"Травень",13.9
1885,"Травень",13
1886,"Травень",15.2
1887,"Травень",16.2
1888,"Травень",13.9
1889,"Травень",17.4
1890,"Травень",16.6
1891,"Травень",16.3
1892,"Травень",15.9
1893,"Травень",12.5
1894,"Травень",13.5
1895,"Травень",13.6
1896,"Травень",13.3
1897,"Травень",17.4
1898,"Травень",16.4
1899,"Травень",14.3
1900,"Травень",14.2
1901,"Травень",14.6
1902,"Травень",12.4
1903,"Травень",14.5
1904,"Травень",11.9
1905,"Травень",15.4
1906,"Травень",17.9
1907,"Травень",16.8
1908,"Травень",14.2
1909,"Травень",12.3
1910,"Травень",16.2
1911,"Травень",16.1
1912,"Травень",11.5
